File,Line,Column,Error Type
"src/mol-math/linear-algebra/3d/vec3.ts",32,17,missing-explicit-return-type
"src/mol-math/linear-algebra/3d/vec3.ts",55,21,missing-explicit-return-type
"src/mol-math/linear-algebra/3d/vec3.ts",59,21,missing-explicit-return-type
"src/mol-math/linear-algebra/3d/vec3.ts",70,21,missing-explicit-return-type
"src/mol-math/linear-algebra/3d/vec3.ts",74,21,missing-explicit-return-type
"src/mol-math/linear-algebra/3d/vec3.ts",81,21,missing-explicit-return-type
"src/mol-math/linear-algebra/3d/vec3.ts",96,21,missing-explicit-return-type
"src/mol-math/linear-algebra/3d/vec3.ts",111,21,missing-explicit-return-type
"src/mol-math/linear-algebra/3d/vec3.ts",118,21,missing-explicit-return-type
"src/mol-math/linear-algebra/3d/vec3.ts",125,21,missing-explicit-return-type
"src/mol-math/linear-algebra/3d/vec3.ts",132,21,missing-explicit-return-type
"src/mol-math/linear-algebra/3d/vec3.ts",139,21,missing-explicit-return-type
"src/mol-math/linear-algebra/3d/vec3.ts",146,21,missing-explicit-return-type
"src/mol-math/linear-algebra/3d/vec3.ts",154,21,missing-explicit-return-type
"src/mol-math/linear-algebra/3d/vec3.ts",162,21,missing-explicit-return-type
"src/mol-math/linear-algebra/3d/vec3.ts",169,21,missing-explicit-return-type
"src/mol-math/linear-algebra/3d/vec3.ts",176,21,missing-explicit-return-type
"src/mol-math/linear-algebra/3d/vec3.ts",186,21,missing-explicit-return-type
"src/mol-math/linear-algebra/3d/vec3.ts",196,21,missing-explicit-return-type
"src/mol-math/linear-algebra/3d/vec3.ts",206,21,missing-explicit-return-type
"src/mol-math/linear-algebra/3d/vec3.ts",216,21,missing-explicit-return-type
"src/mol-math/linear-algebra/3d/vec3.ts",226,21,missing-explicit-return-type
"src/mol-math/linear-algebra/3d/vec3.ts",236,21,missing-explicit-return-type
"src/mol-math/linear-algebra/3d/vec3.ts",246,21,missing-explicit-return-type
"src/mol-math/linear-algebra/3d/vec3.ts",256,21,missing-explicit-return-type
"src/mol-math/linear-algebra/3d/vec3.ts",263,21,missing-explicit-return-type
"src/mol-math/linear-algebra/3d/vec3.ts",270,21,missing-explicit-return-type
"src/mol-math/linear-algebra/3d/vec3.ts",277,21,missing-explicit-return-type
"src/mol-math/linear-algebra/3d/vec3.ts",284,21,missing-explicit-return-type
"src/mol-math/linear-algebra/3d/vec3.ts",291,21,missing-explicit-return-type
"src/mol-math/linear-algebra/3d/vec3.ts",298,21,missing-explicit-return-type
"src/mol-math/linear-algebra/3d/vec3.ts",308,21,missing-explicit-return-type
"src/mol-math/linear-algebra/3d/vec3.ts",315,21,missing-explicit-return-type
"src/mol-math/linear-algebra/3d/vec3.ts",329,21,missing-explicit-return-type
"src/mol-math/linear-algebra/3d/vec3.ts",333,21,missing-explicit-return-type
"src/mol-math/linear-algebra/3d/vec3.ts",346,21,missing-explicit-return-type
"src/mol-math/linear-algebra/3d/vec3.ts",357,21,missing-explicit-return-type
"src/mol-math/linear-algebra/3d/vec3.ts",368,21,missing-explicit-return-type
"src/mol-math/linear-algebra/3d/vec3.ts",385,21,missing-explicit-return-type
"src/mol-math/linear-algebra/3d/vec3.ts",401,21,missing-explicit-return-type
"src/mol-math/linear-algebra/3d/vec3.ts",412,21,missing-explicit-return-type
"src/mol-math/linear-algebra/3d/vec3.ts",423,21,missing-explicit-return-type
"src/mol-math/linear-algebra/3d/vec3.ts",437,21,missing-explicit-return-type
"src/mol-math/linear-algebra/3d/vec3.ts",446,21,missing-explicit-return-type
"src/mol-math/linear-algebra/3d/vec3.ts",457,21,missing-explicit-return-type
"src/mol-math/linear-algebra/3d/vec3.ts",471,21,missing-explicit-return-type
"src/mol-math/linear-algebra/3d/vec3.ts",489,21,missing-explicit-return-type
"src/mol-math/linear-algebra/3d/vec3.ts",498,21,missing-explicit-return-type
"src/mol-math/linear-algebra/3d/vec3.ts",518,21,missing-explicit-return-type
"src/mol-math/linear-algebra/3d/vec3.ts",565,21,missing-explicit-return-type
"src/mol-math/linear-algebra/3d/vec3.ts",572,21,missing-explicit-return-type
"src/mol-math/linear-algebra/3d/vec3.ts",592,21,missing-explicit-return-type
"src/mol-math/linear-algebra/3d/vec3.ts",597,21,missing-explicit-return-type
"src/mol-math/linear-algebra/3d/vec3.ts",605,21,missing-explicit-return-type
"src/mol-math/linear-algebra/3d/vec3.ts",611,21,missing-explicit-return-type
"src/mol-math/linear-algebra/3d/vec3.ts",617,21,missing-explicit-return-type
"src/mol-math/linear-algebra/3d/vec3.ts",623,21,missing-explicit-return-type
"src/mol-math/linear-algebra/3d/vec3.ts",631,21,missing-explicit-return-type
"src/mol-math/linear-algebra/3d/vec3.ts",640,21,missing-explicit-return-type
"src/mol-math/linear-algebra/3d/vec3.ts",668,21,missing-explicit-return-type
"src/mol-math/linear-algebra/3d/vec3.ts",679,21,missing-explicit-return-type
"src/mol-model/structure/structure/structure.ts",77,5,missing-explicit-return-type
"src/mol-model/structure/structure/structure.ts",82,9,missing-explicit-return-type
"src/mol-model/structure/structure/structure.ts",87,9,missing-explicit-return-type
"src/mol-model/structure/structure/structure.ts",94,9,missing-explicit-return-type
"src/mol-model/structure/structure/structure.ts",98,9,missing-explicit-return-type
"src/mol-model/structure/structure/structure.ts",106,9,missing-explicit-return-type
"src/mol-model/structure/structure/structure.ts",114,9,missing-explicit-return-type
"src/mol-model/structure/structure/structure.ts",119,9,missing-explicit-return-type
"src/mol-model/structure/structure/structure.ts",127,9,missing-explicit-return-type
"src/mol-model/structure/structure/structure.ts",134,9,missing-explicit-return-type
"src/mol-model/structure/structure/structure.ts",141,9,missing-explicit-return-type
"src/mol-model/structure/structure/structure.ts",148,9,missing-explicit-return-type
"src/mol-model/structure/structure/structure.ts",159,9,missing-explicit-return-type
"src/mol-model/structure/structure/structure.ts",163,9,missing-explicit-return-type
"src/mol-model/structure/structure/structure.ts",167,9,missing-explicit-return-type
"src/mol-model/structure/structure/structure.ts",173,9,missing-explicit-return-type
"src/mol-model/structure/structure/structure.ts",204,9,missing-explicit-return-type
"src/mol-model/structure/structure/structure.ts",219,9,missing-explicit-return-type
"src/mol-model/structure/structure/structure.ts",223,9,missing-explicit-return-type
"src/mol-model/structure/structure/structure.ts",229,9,missing-explicit-return-type
"src/mol-model/structure/structure/structure.ts",235,9,missing-explicit-return-type
"src/mol-model/structure/structure/structure.ts",253,9,missing-explicit-return-type
"src/mol-model/structure/structure/structure.ts",257,9,missing-explicit-return-type
"src/mol-model/structure/structure/structure.ts",261,9,missing-explicit-return-type
"src/mol-model/structure/structure/structure.ts",290,9,missing-explicit-return-type
"src/mol-model/structure/structure/structure.ts",295,9,missing-explicit-return-type
"src/mol-model/structure/structure/structure.ts",300,9,missing-explicit-return-type
"src/mol-model/structure/structure/structure.ts",305,9,missing-explicit-return-type
"src/mol-model/structure/structure/structure.ts",311,9,missing-explicit-return-type
"src/mol-model/structure/structure/structure.ts",317,9,missing-explicit-return-type
"src/mol-model/structure/structure/structure.ts",323,9,missing-explicit-return-type
"src/mol-model/structure/structure/structure.ts",329,9,missing-explicit-return-type
"src/mol-model/structure/structure/structure.ts",341,9,missing-explicit-return-type
"src/mol-model/structure/structure/structure.ts",345,9,missing-explicit-return-type
"src/mol-model/structure/structure/structure.ts",375,5,missing-explicit-return-type
"src/mol-model/structure/structure/structure.ts",380,5,missing-explicit-return-type
"src/mol-model/structure/structure/structure.ts",658,21,missing-explicit-return-type
"src/mol-model/structure/structure/structure.ts",662,21,missing-explicit-return-type
"src/mol-model/structure/structure/structure.ts",666,21,missing-explicit-return-type
"src/mol-model/structure/structure/structure.ts",848,21,missing-explicit-return-type
"src/mol-model/structure/structure/structure.ts",864,22,missing-explicit-return-type
"src/mol-model/structure/structure/structure.ts",948,13,missing-explicit-return-type
"src/mol-model/structure/structure/structure.ts",957,21,missing-explicit-return-type
"src/mol-model/structure/structure/structure.ts",961,21,missing-explicit-return-type
"src/mol-model/structure/structure/structure.ts",966,21,missing-explicit-return-type
"src/mol-model/structure/structure/structure.ts",971,21,missing-explicit-return-type
"src/mol-model/structure/structure/structure.ts",985,21,missing-explicit-return-type
